id,name,imageUrl
1,master-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/master-ball.png
2,ultra-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ultra-ball.png
3,great-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/great-ball.png
4,poke-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-ball.png
5,safari-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/safari-ball.png
6,net-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/net-ball.png
7,dive-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dive-ball.png
8,nest-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nest-ball.png
9,repeat-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repeat-ball.png
10,timer-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/timer-ball.png
11,luxury-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/luxury-ball.png
12,premier-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/premier-ball.png
13,dusk-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dusk-ball.png
14,heal-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-ball.png
15,quick-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/quick-ball.png
16,cherish-ball,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cherish-ball.png
17,potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/potion.png
18,antidote,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/antidote.png
19,burn-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/burn-heal.png
20,ice-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ice-heal.png
21,awakening,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/awakening.png
22,paralyze-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/paralyze-heal.png
23,full-restore,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-restore.png
24,max-potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-potion.png
25,hyper-potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hyper-potion.png
26,super-potion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-potion.png
27,full-heal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-heal.png
28,revive,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revive.png
29,max-revive,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-revive.png
30,fresh-water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fresh-water.png
31,soda-pop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soda-pop.png
32,lemonade,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lemonade.png
33,moomoo-milk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/moomoo-milk.png
34,energy-powder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/energy-powder.png
35,energy-root,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/energy-root.png
36,heal-powder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-powder.png
37,revival-herb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revival-herb.png
38,ether,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ether.png
39,max-ether,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-ether.png
40,elixir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/elixir.png
41,max-elixir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-elixir.png
42,lava-cookie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lava-cookie.png
43,berry-juice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-juice.png
44,sacred-ash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sacred-ash.png
45,hp-up,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hp-up.png
46,protein,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/protein.png
47,iron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/iron.png
48,carbos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/carbos.png
49,calcium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/calcium.png
50,rare-candy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rare-candy.png
51,pp-up,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pp-up.png
52,zinc,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/zinc.png
53,pp-max,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pp-max.png
54,old-gateau,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/old-gateau.png
55,guard-spec,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/guard-spec.png
56,dire-hit,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dire-hit.png
57,x-attack,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-attack.png
58,x-defense,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-defense.png
59,x-speed,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-speed.png
60,x-accuracy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-accuracy.png
61,x-sp-atk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-sp-atk.png
62,x-sp-def,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-sp-def.png
63,poke-doll,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-doll.png
64,fluffy-tail,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fluffy-tail.png
65,blue-flute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-flute.png
66,yellow-flute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-flute.png
67,red-flute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-flute.png
68,black-flute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-flute.png
69,white-flute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/white-flute.png
70,shoal-salt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-salt.png
71,shoal-shell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-shell.png
72,red-shard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-shard.png
73,blue-shard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-shard.png
74,yellow-shard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-shard.png
75,green-shard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/green-shard.png
76,super-repel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-repel.png
77,max-repel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-repel.png
78,escape-rope,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/escape-rope.png
79,repel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repel.png
80,sun-stone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sun-stone.png
81,moon-stone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/moon-stone.png
82,fire-stone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fire-stone.png
83,thunder-stone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/thunder-stone.png
84,water-stone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/water-stone.png
85,leaf-stone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/leaf-stone.png
86,tiny-mushroom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tiny-mushroom.png
87,big-mushroom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-mushroom.png
88,pearl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pearl.png
89,big-pearl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-pearl.png
90,stardust,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stardust.png
91,star-piece,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/star-piece.png
92,nugget,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nugget.png
93,heart-scale,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heart-scale.png
94,honey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/honey.png
95,growth-mulch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/growth-mulch.png
96,damp-mulch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/damp-mulch.png
97,stable-mulch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stable-mulch.png
98,gooey-mulch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gooey-mulch.png
99,root-fossil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/root-fossil.png
100,claw-fossil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/claw-fossil.png
